stage,epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,lr,time_sec
1,1,0.8052384045114969,0.6744692433315188,0.5971175854812968,0.6636267226759697,0.7752442996742671,0.7423089559728494,0.0005,184.87885403633118
1,2,0.6176619260091787,0.7604790419161677,0.7153099946194378,0.5892808802353054,0.757328990228013,0.7019237541794804,0.0005,211.58045506477356
1,3,0.5487319525974109,0.7860642351660315,0.7517406386270205,0.5263399918857925,0.7915309446254072,0.7658965747057896,0.0005,233.48650813102722
1,4,0.5034545557162784,0.7942297223734349,0.7626509226392543,0.48931789213749016,0.8143322475570033,0.7949694516994125,0.0005,220.85228872299194
1,5,0.4823411163196138,0.8023952095808383,0.7760026751231585,0.4859759143769061,0.7964169381107492,0.7731653696272635,0.0005,224.30943894386292
2,6,0.4608245235976799,0.8127381600435493,0.7882144908231865,0.43757891771459423,0.8208469055374593,0.7961426000899685,5e-05,230.71447253227234
2,7,0.43065254327779756,0.8279804028307022,0.8084939534636678,0.4166519642422273,0.8192182410423453,0.7996215240891914,4.969836434458088e-05,209.392653465271
2,8,0.3810141538966916,0.8459444746869896,0.8273928375183024,0.36828352882244686,0.8469055374592834,0.8357307067199052,4.8800884649231264e-05,232.2971658706665
2,9,0.33702307006685905,0.8682634730538922,0.8505724389812879,0.35770822463842283,0.8436482084690554,0.8264835397515711,4.732965984261501e-05,214.4840955734253
2,10,0.32910642259849043,0.8753402286336418,0.8609991983228186,0.35871103587969894,0.8485342019543974,0.8309090178605647,4.532091636218621e-05,181.25523614883423
2,11,0.3160640079250268,0.874251497005988,0.8589329844607185,0.35535420031447557,0.8534201954397395,0.836665899733536,4.282411613907041e-05,176.22575521469116
2,12,0.29439800997986115,0.8884050081654872,0.8756894536055716,0.3528331929161016,0.8485342019543974,0.8284808359810661,3.9900738681165586e-05,179.93535661697388
2,13,0.3122564379326598,0.8758845944474687,0.8616334253289223,0.3672692202204529,0.8534201954397395,0.8369209876442683,3.662276724361889e-05,187.2683687210083
2,14,0.27880087065742143,0.8927599346761024,0.8814621999307589,0.3859663712230878,0.8403908794788274,0.8268738720784756,3.3070916362186205e-05,183.5288679599762
2,15,0.2575170035977434,0.9014697876973327,0.8896279005429332,0.3601267403932076,0.8583061889250815,0.8453159690415134,2.9332644393485654e-05,175.04504251480103
2,16,0.24139963590099425,0.9090909090909091,0.8983181559642519,0.3525012017573542,0.8599348534201955,0.8414104686265357,2.5499999999999996e-05,181.2882103919983
2,17,0.23334470731153006,0.9085465432770822,0.8964774955169738,0.3624877242541323,0.8485342019543974,0.8275417970816279,2.1667355606514346e-05,173.9143328666687
2,18,0.2377002512550445,0.9041916167664671,0.8933768744566642,0.3526839646146745,0.8534201954397395,0.836331212641822,1.7929083637813788e-05,161.9255599975586
2,19,0.23657112547120906,0.9069134458356015,0.8955298745363458,0.35055746774398494,0.8566775244299675,0.8404977106707211,1.4377232756381102e-05,159.30991625785828
2,20,0.24461267509324822,0.9080021774632553,0.8980440042271566,0.37078016274987874,0.8469055374592834,0.8341505153899424,1.109926131883441e-05,157.14089608192444
2,21,0.24126433827303387,0.9156232988568318,0.9037643124936671,0.3711863306778747,0.8485342019543974,0.8316180519575785,8.175883860929586e-06,160.99622178077698
2,22,0.23641561727745738,0.9118127381600436,0.9027318647773898,0.35498145837882833,0.8550488599348535,0.8393084381915781,5.679083637813789e-06,1978.1535499095917
2,23,0.23851657621501643,0.909635274904736,0.9004959957916038,0.34652318817590655,0.8583061889250815,0.8389620128353922,3.6703401573849885e-06,155.813050031662
